,compound,positive,negative,neutral,sentiment,Open,High,Low,Close,Adj Close,Volume,prev_close,Daily_returns,RSI
2021-01-05,-0.3612,0.041,0.11,0.849,0.0,128.889999,131.740005,128.429993,131.009995,130.592697,97664900,128.997803,0.01236372994662549,
2021-01-06,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,127.720001,131.050003,126.379997,126.599998,126.196747,155088000,130.592697,-0.03366153009306472,
2021-01-07,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,128.360001,131.630005,127.860001,130.919998,130.502991,109578200,126.196747,0.03412325675874994,
2021-01-08,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,132.429993,132.630005,130.229996,132.050003,131.629379,105158200,130.502991,0.008631127849016096,
2021-01-11,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,129.190002,130.169998,128.5,128.979996,128.569168,100384500,131.629379,-0.023248692831712048,48.520283543824114
2021-01-12,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,128.5,129.690002,126.860001,128.800003,128.38974,91951100,128.569168,-0.00139557564843229,41.57132022790249
2021-01-13,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,128.759995,131.449997,128.490005,130.889999,130.473083,88636800,128.38974,0.016226709392822336,69.87955313383314
2021-01-14,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,130.800003,131.0,128.759995,128.910004,128.499405,90221800,130.473083,-0.015127089470247324,38.106526283597056
2021-01-15,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,128.779999,130.220001,127.0,127.139999,126.735023,111598500,128.499405,-0.013730662799567028,22.992311480291196
2021-01-19,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,127.779999,128.710007,126.940002,127.830002,127.422829,90757300,126.735023,0.005427118595307201,41.43069806299852
2021-01-20,0.2612666666666667,0.05466666666666666,0.0,0.9453333333333332,0.6666666666666666,128.660004,132.490005,128.550003,132.029999,131.609451,104319500,127.422829,0.032856137576415145,65.05124286275657
2021-01-21,0.5106,0.096,0.0,0.904,1.0,133.800003,139.669998,133.589996,136.869995,136.434021,120150900,131.609451,0.0366582336096819,72.1809640175699
2021-01-22,0.6808,0.141,0.0,0.859,1.0,136.279999,139.850006,135.020004,139.070007,138.627029,114459400,136.434021,0.016073762130048186,87.08017083287324
2021-01-25,0.0,0.0,0.0,1.0,0.0,143.070007,145.089996,136.539993,142.919998,142.464767,157611700,138.627029,0.027683908597651685,100.0
